orderId,customerId,item,quantity
908078515,325166444,Value2,10
737250305,380910236,Value4,8
835807053,597587242,Value4,11
358046534,177009370,Value1,6
516572797,953139218,Value4,17
771849200,322850185,Value4,13
744411310,675988246,Value6,14
738285922,878841936,Value1,1
150781285,601453020,Value2,18
607727734,812938724,Value4,16
372672383,161065287,Value4,16
813382817,199369642,Value2,14
634487435,702137223,Value3,14
878870747,456091605,Value3,12
189961106,600195029,Value2,17
664711595,322193584,Value6,11
322062797,980734499,Value1,15
832077079,840114598,Value4,8
852216991,564168552,Value3,15
16143132,381029378,Value3,5
475335432,961568292,Value1,5
730590315,439741488,Value6,12
824793026,464697806,Value2,15
990322312,53046932,Value4,5
122432112,110370103,Value3,20
268585693,729858881,Value5,9
776487389,84860535,Value1,16
398732272,884783586,Value4,1
935986853,547449806,Value5,15
444125790,105472511,Value3,3
879781265,736001318,Value1,14
119775437,666032826,Value6,1
853871958,129412328,Value2,18
127010262,466744477,Value4,10
728730608,144782121,Value1,14
667253190,796908448,Value4,7
807650119,977125160,Value3,17
786598329,307674452,Value2,11
41819572,20805007,Value2,20
93415393,791429169,Value6,11
794205753,986778195,Value6,15
181598116,303133895,Value4,20
986781212,446602974,Value4,8
773354330,378706563,Value3,6
383868154,616577100,Value4,17
285226701,905599195,Value5,11
850099535,276432052,Value3,15
246214597,729718766,Value4,4
915364894,250216781,Value4,3
254243611,921453121,Value5,3
967077039,658580898,Value6,2
848164925,962029165,Value5,11
211389861,29393537,Value1,2
576195513,293963234,Value4,4
879024544,713999209,Value6,5
686411414,772367026,Value4,18
836702191,326048472,Value3,15
230928994,345463205,Value4,8
413620026,990912966,Value3,10
797486315,868322934,Value5,5
719603401,392037907,Value2,11
154123927,611806413,Value4,13
428753385,572408783,Value1,18
660716137,34842992,Value5,11
653860418,513492377,Value6,16
989609877,724788419,Value5,3
724755972,546201333,Value4,5
38155202,510897161,Value3,4
973581797,457784572,Value1,14
503129534,921369802,Value5,20
732779092,144459833,Value1,6
628499115,580102538,Value3,8
226159078,693473947,Value2,16
387794733,209879165,Value2,2
619466481,748181286,Value2,18
66290078,105445025,Value2,4
167820868,83710931,Value3,3
263965070,882618658,Value3,15
397983265,901784164,Value6,8
403941445,461329201,Value1,6
93921652,20661567,Value2,8
84400599,435662299,Value2,11
105743779,857792108,Value4,14
601936086,402006674,Value4,11
995869255,361603415,Value6,5
8464296,344161113,Value6,9
638917353,143546259,Value4,18
766308042,910573314,Value6,4
993960580,819432855,Value1,6
541982897,918184234,Value3,11
106965585,659302225,Value3,14
670717726,301468741,Value2,15
621663532,913630734,Value1,14
484231046,260470601,Value1,10
777642369,301526479,Value4,9
337839030,626768888,Value3,19
244325648,833302800,Value2,20
123718303,370045585,Value3,8
2731833,729434226,Value3,13
285768320,92881877,Value5,18
499947605,438066535,Value3,6
899254245,491248416,Value2,20
86749965,834338720,Value5,14
95796666,973035748,Value5,6
634114815,837902772,Value6,16
458922263,450096261,Value5,14
719512516,714806556,Value1,1
843756768,510183697,Value5,19
399299756,844507357,Value6,20
430983701,446071516,Value2,12
919905229,90166460,Value6,17
114326175,167473700,Value3,20
273488691,559188692,Value6,8
131162002,998504798,Value5,9
468114722,278353503,Value4,2
447993473,928768931,Value4,6
497480080,202656459,Value4,18
408445611,160452670,Value4,12
766021558,51122398,Value5,20
413909676,263073493,Value1,7
475688071,887044144,Value4,12
822458655,886100324,Value3,11
712556950,510731993,Value4,2
21617620,488101698,Value5,5
472585564,188791682,Value2,4
697492639,404625370,Value1,17
77631016,878389175,Value4,4
286517914,660195552,Value2,15
174291610,289752888,Value2,6
611731117,817476303,Value1,16
830132594,749526239,Value1,11
452034828,320087913,Value1,16
22697893,984495846,Value3,12
261203163,459630891,Value5,13
270680725,549073762,Value3,4
943525153,21619674,Value6,11
550189636,941318072,Value2,1
959720206,684567330,Value5,6
676327221,726366106,Value3,11
193988693,90668146,Value1,4
942489753,266781919,Value2,12
820563303,680029291,Value4,13
396543545,783864252,Value4,6
199253229,588982472,Value4,10
611003717,161023636,Value4,10
138664032,245097292,Value6,5
577668653,611211747,Value2,3
995373550,22307035,Value3,12
279981962,750255799,Value3,11
106202675,333492756,Value2,2
627674744,322217762,Value3,10
529708069,882840869,Value5,20
329034686,426451001,Value2,19
955325106,399434811,Value6,20
632744781,854381662,Value2,3
748939515,286685335,Value5,3
100561344,580630547,Value3,16
422616599,499721248,Value4,2
402198744,43696912,Value5,13
271709330,578861589,Value4,11
68031033,206541413,Value6,6
736932545,444139698,Value4,15
614859805,477079974,Value5,6
667088322,138027286,Value2,14
475362278,164444176,Value1,4
480623128,601799537,Value6,1
313476170,607979139,Value5,5
544722426,135964805,Value1,12
806900070,950295390,Value1,17
455308688,473698818,Value4,13
397431007,682789948,Value5,6
489381786,10811121,Value6,15
697532450,739616756,Value6,13
375415213,275966322,Value4,16
413079044,538074136,Value4,5
111480085,470489325,Value1,17
918550633,730879298,Value4,9
441803223,302702846,Value6,20
75970228,610639741,Value2,4
223992292,273254248,Value6,10
910647193,635689997,Value2,4
305178992,438753197,Value1,15
991479431,140683980,Value6,14
575967774,208384290,Value2,2
907956229,93141733,Value1,19
870046175,729135865,Value6,6
577817801,601929510,Value2,1
754644225,924621956,Value3,15
61095519,420447489,Value3,18
525259666,24441651,Value3,10
451625335,827924600,Value4,11
337380124,124850281,Value3,18
334058174,234891973,Value1,16
969482465,142020192,Value5,11
325960233,422720818,Value3,9
755449168,47899187,Value2,3
586595770,279036778,Value5,1
277878419,8609308,Value4,6
660408187,966341373,Value2,17
659070377,538734867,Value3,19
346792530,413643602,Value2,8
156959930,526384771,Value1,20
260890239,244084897,Value5,14
498131314,99446237,Value1,5
418541905,575750823,Value1,20
751149462,786551834,Value3,6
859638685,436496852,Value2,18
509319837,471569590,Value6,11
385996057,825596725,Value1,15
508681192,870740363,Value1,10
358954003,733454108,Value2,13
214138596,531102613,Value1,1
139910448,281473067,Value2,4
